Player,Total Score,Batting Score,Bowling Score,Runs Scored,Wickets Taken,Balls Faced,Batting SR,Batting AVG,Runs Score,Batting AVG Score,Batting SR Score,Wickets Score,Runs Conceded,Balls Bowled,Bowling AVG,Bowling AVG Score,Bowling SR,Bowling SR Score
KA Pollard,4.464342063333966,2.925,6.003684126667931,63.0,5.0,64.0,98.4375,12.6,1.6,0.95,0.375,2.142857142857143,73.0,58.0,14.6,1.884382107657316,11.6,1.9764448761534723
NP Kenjige,4.369223674444431,2.808646656373929,5.929800692514934,14.0,6.0,11.0,127.27272727272728,1.5,1.1333333333333333,0.5535714285714286,1.121741894469167,2.428571428571429,129.0,114.0,21.5,1.7432603981169663,19.0,1.7579688658265382
AM Hardie,4.357592791077433,5.069764868159363,3.6454207139955033,147.0,4.0,109.0,134.8623853211009,24.5,2.4,1.375,1.294764868159363,1.8571428571428568,100.0,61.0,25.0,0.7921106899166035,15.25,0.9961671669360426
Mohammad Mohsin,4.309095614172053,2.7845154845154845,5.833675743828621,12.0,6.0,10.0,120.0,6.0,1.1142857142857143,0.7142857142857143,0.955944055944056,2.428571428571429,147.0,138.0,24.5,1.7066964769228388,23.0,1.698407838334354
TM Head,4.291473474978631,8.582946949957261,0.0,336.0,,194.0,173.1958762886598,48.0,4.2,2.2142857142857144,2.1686612356715456,,,,,,,
CJ Anderson,4.159060621316773,4.413526361279169,3.904594881354377,111.0,4.0,89.0,124.7191011235955,22.2,2.057142857142857,1.2928571428571427,1.06352636127917,1.8571428571428568,71.0,52.0,17.75,0.9442017533556152,13.0,1.1032502708559049
SPD Smith,4.154799183117768,8.309598366235535,0.0,336.0,,226.0,148.67256637168143,56.0,4.2,2.5,1.6095983662355346,,,,,,,
Zia-ul-Haq,4.088337181288388,2.0630952380952383,6.113579124481537,1.0,7.0,1.0,100.0,1.5,1.0095238095238095,0.5535714285714286,0.5,2.7142857142857144,196.0,147.0,28.0,1.673941297519766,21.0,1.7253521126760565
FH Allen,4.064285714285714,8.128571428571428,0.0,306.0,,163.0,187.73006134969324,34.0,3.914285714285714,1.7142857142857142,2.5,,,,,,,
Ali Khan,4.047649049255447,2.5291625041625045,5.566135594348388,11.0,5.0,10.0,110.0,5.5,1.1047619047619048,0.6964285714285714,0.7279720279720283,2.142857142857143,135.0,100.0,27.0,1.6824333810687109,20.0,1.7408450704225351
AD Russell,3.9987811539809854,5.546328671328672,2.451233636633301,129.0,2.0,80.0,161.25,25.8,2.2285714285714286,1.4214285714285717,1.896328671328672,1.2857142857142856,121.0,88.0,60.5,0.5736179424683112,44.0,0.5919014084507042
BL Couch,3.871963526021682,1.9761904761904765,5.767736575852888,5.0,5.0,13.0,38.46153846153847,1.5,1.0476190476190477,0.5535714285714286,0.375,2.142857142857143,97.0,75.0,19.4,1.775583658347858,15.0,1.8492957746478875
SP Narine,3.86482807909836,2.2928571428571427,5.436799015339576,27.0,5.0,28.0,96.42857142857144,4.5,1.2571428571428571,0.6607142857142857,0.375,2.142857142857143,149.0,149.0,29.8,1.660091792134574,29.8,1.633850080347859
Haris Rauf,3.821769870230208,2.367857142857143,5.275682597603272,23.0,5.0,32.0,71.875,7.666666666666667,1.2190476190476192,0.7738095238095238,0.375,2.142857142857143,294.0,199.0,58.8,1.5538389730418325,39.8,1.5789864817042962
LE Plunkett,3.8147039878237647,1.875,5.7544079756475295,0.0,5.0,1.0,0.0,0.0,1.0,0.5,0.375,2.142857142857143,105.0,73.0,21.0,1.7503700494602692,14.6,1.8611807833301173
DP Conway,3.764553828524417,7.529107657048834,0.0,293.0,,204.0,143.62745098039215,48.833333333333336,3.7904761904761903,2.244047619047619,1.494583847525024,,,,,,,
M Jansen,3.664624642303784,0.0,7.329249284607568,,11.0,,,,,,,3.857142857142857,267.0,206.0,24.27272727272728,1.7091500484137057,18.727272727272727,1.7629563790510052
LH Ferguson,3.5923272767766568,0.0,7.1846545535533135,,10.0,,,,,,,3.571428571428572,184.0,161.0,18.4,1.7935689092527276,16.1,1.8196570728720147
Jasdeep Singh,3.5720098511404346,0.0,7.144019702280869,,6.0,,,,,,,2.428571428571429,39.0,45.0,6.5,2.4323496821601447,7.5,2.283098591549296
RD Rickelton,3.422432830327568,6.844865660655135,0.0,225.0,,152.0,148.0263157894737,45.0,3.142857142857143,2.107142857142857,1.5948656606551348,,,,,,,
AJ Tye,3.346586996192901,0.0,6.693173992385802,,5.0,,,,,,,2.142857142857143,53.0,30.0,10.6,2.0503168495286594,6.0,2.5
MJ Santner,3.2889427038464936,3.5416583416583416,3.036227066034645,24.0,2.0,20.0,120.0,24.0,1.2285714285714286,1.3571428571428572,0.955944055944056,1.2857142857142856,42.0,37.0,21.0,0.8630365717173905,18.5,0.8874762086029693
KMA Paul,3.2271948417294123,3.268989343989344,3.185400339469481,29.0,3.0,24.0,120.83333333333331,14.5,1.276190476190476,1.0178571428571428,0.9749417249417248,1.5714285714285714,76.0,63.0,25.33333333333333,0.7872112046606281,21.0,0.8267605633802817
R Shepherd,3.1131434536631337,3.340719886174432,2.885567021151835,40.0,3.0,33.0,121.21212121212122,13.333333333333334,1.380952380952381,0.9761904761904764,0.9835770290315746,1.5714285714285714,118.0,101.0,39.333333333333336,0.6564198609629791,33.666666666666664,0.6577185887602846
A Nortje,3.0981043967100166,3.899844599844601,2.296364193575432,14.0,1.0,9.0,155.55555555555557,14.0,1.1333333333333333,1.0,1.766511266511267,1.0,42.0,34.0,42.0,0.641393191089931,34.0,0.6549710024855012
Zaman Khan,3.096773861943296,2.790634365634366,3.402913358252226,9.0,4.0,7.0,128.57142857142858,1.5,1.0857142857142856,0.5535714285714286,1.1513486513486515,1.8571428571428568,106.0,95.0,26.5,0.7710336590041054,23.75,0.7747368421052632
CA Dry,3.0720484255397373,3.601304251304251,2.542792599775224,13.0,2.0,9.0,144.44444444444443,13.0,1.1238095238095238,0.9642857142857144,1.513209013209013,1.2857142857142856,88.0,76.0,44.0,0.631318491970501,38.0,0.6257598220904373
PJ Cummins,3.0140179468913693,2.935114885114886,3.0929210086678527,33.0,4.0,30.0,110.0,11.0,1.3142857142857145,0.8928571428571428,0.7279720279720283,1.8571428571428568,211.0,144.0,52.75,0.5962241609146668,36.0,0.6395539906103286
Imad Wasim,2.9459844251226013,2.532142857142857,3.359825993102345,24.0,4.0,27.0,88.88888888888889,12.0,1.2285714285714286,0.9285714285714286,0.375,1.8571428571428568,111.0,102.0,27.75,0.7552100622229507,25.5,0.7474730737365369
Shakib Al Hasan,2.855166708052389,3.677072927072927,2.033260489031851,60.0,1.0,48.0,125.0,15.0,1.5714285714285714,1.0357142857142856,1.06993006993007,1.0,111.0,62.0,111.0,0.5036148734025914,62.0,0.5296456156292594
C le Roux,2.825852594321688,2.779761904761905,2.8719432838814702,20.0,3.0,21.0,95.23809523809524,20.0,1.1904761904761905,1.2142857142857144,0.375,1.5714285714285714,136.0,95.0,45.333333333333336,0.6250958836908531,31.666666666666668,0.675418828762046
Mukhtar Ahmed,2.804895104895105,5.60979020979021,0.0,42.0,,24.0,175.0,42.0,1.4,2.0,2.20979020979021,,,,,,,
A Desai,2.7652531544900123,2.1011904761904763,3.4293158327895483,5.0,2.0,5.0,100.0,1.5,1.0476190476190477,0.5535714285714286,0.5,1.2857142857142856,30.0,26.0,15.0,1.040351276219358,13.0,1.1032502708559049
N Pooran,2.677822177822178,5.355644355644356,0.0,180.0,,144.0,125.0,30.0,2.7142857142857144,1.5714285714285714,1.06993006993007,,,,,,,
JP Inglis,2.662567640692641,5.325135281385282,0.0,157.0,,105.0,149.52380952380952,19.625,2.495238095238096,1.2008928571428572,1.629004329004329,,,,,,,
SP Krishnamurthi,2.6495432754649344,5.299086550929869,0.0,169.0,,124.0,136.29032258064515,24.142857142857142,2.6095238095238096,1.3622448979591837,1.3273178434468755,,,,,,,
N Burger,2.6457295276659183,2.148809523809524,3.142649531522313,10.0,4.0,18.0,55.55555555555556,5.0,1.0952380952380951,0.6785714285714286,0.375,1.8571428571428568,186.0,131.0,46.5,0.6199438316743704,32.75,0.6655628427050855
AGS Gous,2.634236076423577,5.268472152847154,0.0,153.0,,128.0,119.53125,38.25,2.4571428571428573,1.8660714285714288,0.9452578671328672,,,,,,,
Q de Kock,2.6004412254412257,5.200882450882451,0.0,170.0,,136.0,125.0,28.33333333333333,2.619047619047619,1.511904761904762,1.06993006993007,,,,,,,
SC van Schalkwyk,2.5869644381474144,2.0428571428571427,3.131071733437686,12.0,1.0,16.0,75.0,1.5,1.1142857142857143,0.5535714285714286,0.375,1.0,17.0,12.0,17.0,0.967339339071489,12.0,1.163732394366197
Ehsan Adil,2.5804019813157337,1.920238095238095,3.2405658673933724,1.0,3.0,3.0,33.33333333333333,1.0,1.0095238095238095,0.5357142857142857,0.375,1.5714285714285714,65.0,64.0,21.666666666666668,0.849396979063393,21.33333333333333,0.8197403169014084
J Drysdale,2.5202869342054663,2.146428571428572,2.8941452969823613,6.0,3.0,10.0,60.0,6.0,1.0571428571428572,0.7142857142857143,0.375,1.5714285714285714,137.0,88.0,45.66666666666666,0.6235970072439306,29.33333333333333,0.6991197183098592
JJ Roy,2.4678059259581,4.9356118519162,0.0,163.0,,138.0,118.1159420289855,27.166666666666668,2.552380952380952,1.4702380952380951,0.912992804297152,,,,,,,
UBT Chand,2.447136953955136,4.894273907910272,0.0,158.0,,132.0,119.6969696969697,26.33333333333333,2.5047619047619047,1.4404761904761905,0.9490358126721764,,,,,,,
G Coetzee,2.281520250896331,2.055952380952381,2.5070881208402804,4.0,1.0,5.0,80.0,4.0,1.0380952380952382,0.6428571428571428,0.375,1.0,28.0,25.0,28.0,0.7522148814036607,25.0,0.7548732394366198
