Player,Runs Scored,Balls Faced,Batting SR,Batting AVG,Runs Score,Batting AVG Score,Batting SR Score,Batting Score
C le Roux,20,21,95.23809523809524,20.0,1.1904761904761905,1.2142857142857144,0.375,2.779761904761905
J Drysdale,6,10,60.0,6.0,1.0571428571428572,0.7142857142857143,0.375,2.146428571428572
Mukhtar Ahmed,42,24,175.0,42.0,1.4,2.0,2.20979020979021,5.60979020979021
DYA Davis,15,17,88.23529411764706,1.5,1.1428571428571428,0.5535714285714286,0.375,2.071428571428571
AM Hardie,147,109,134.8623853211009,24.5,2.4,1.375,1.294764868159363,5.069764868159363
G Coetzee,4,5,80.0,4.0,1.0380952380952382,0.6428571428571428,0.375,2.055952380952381
Mohammad Mohsin,12,10,120.0,6.0,1.1142857142857143,0.7142857142857143,0.955944055944056,2.7845154845154845
Naveen-ul-Haq,6,7,85.71428571428571,1.5,1.0571428571428572,0.5535714285714286,0.375,1.985714285714285
Aaron Jones,27,36,75.0,6.75,1.2571428571428571,0.7410714285714286,0.375,2.373214285714286
Imad Wasim,24,27,88.88888888888889,12.0,1.2285714285714286,0.9285714285714286,0.375,2.532142857142857
Harmeet Singh,44,47,93.61702127659576,11.0,1.4190476190476191,0.8928571428571428,0.375,2.6869047619047617
Zaman Khan,9,7,128.57142857142858,1.5,1.0857142857142856,0.5535714285714286,1.1513486513486515,2.790634365634366
TH David,27,37,72.97297297297297,9.0,1.2571428571428571,0.8214285714285714,0.375,2.4535714285714283
LE Plunkett,0,1,0.0,0.0,1.0,0.5,0.375,1.875
BL Couch,5,13,38.46153846153847,1.5,1.0476190476190477,0.5535714285714286,0.375,1.9761904761904765
Abrar Ahmed,6,7,85.71428571428571,6.0,1.0571428571428572,0.7142857142857143,0.375,2.146428571428572
A Nortje,14,9,155.55555555555557,14.0,1.1333333333333333,1.0,1.766511266511267,3.899844599844601
Hammad Azam,20,23,86.95652173913044,20.0,1.1904761904761905,1.2142857142857144,0.375,2.779761904761905
BKEL Milantha,33,30,110.0,1.5,1.3142857142857145,0.5535714285714286,0.7279720279720283,2.5958291708291714
DJ Bravo,13,9,144.44444444444443,13.0,1.1238095238095238,0.9642857142857144,1.513209013209013,3.601304251304251
K Rabada,1,1,100.0,1.5,1.0095238095238095,0.5535714285714286,0.5,2.0630952380952383
SC van Schalkwyk,12,16,75.0,1.5,1.1142857142857143,0.5535714285714286,0.375,2.0428571428571427
Ali Khan,11,10,110.0,5.5,1.1047619047619048,0.6964285714285714,0.7279720279720283,2.5291625041625045
Zia-ul-Haq,1,1,100.0,1.5,1.0095238095238095,0.5535714285714286,0.5,2.0630952380952383
